Eon,Era,Period,Superepoch,Epoch,Age,End,Start,Aliases
Phanerozoic,Paleozoic,Permian,,Cisuralian,Artinskian,283.5,290.1,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Sakmarian,290.1,293.52,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Asselian,293.52,298.9,
Phanerozoic,Paleozoic,Carboniferous,,,,298.9,358.9,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,,,298.9,323.2,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,,298.9,307,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,Gzhelian,298.9,303.7,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,Kasimovian,303.7,307,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Middle,,307,315.2,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Middle,Moscovian,307,315.2,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Lower,,315.2,323.2,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Lower,Bashkirian,315.2,323.2,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,,,323.2,358.9,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Upper,,323.2,330.9,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Upper,Serpukhovian,323.2,330.9,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Middle,,330.9,346.7,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Middle,Visean,330.9,346.7,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Lower,,346.7,358.9,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Lower,Tournaisian,346.7,358.9,
Phanerozoic,Paleozoic,Devonian,,,,358.9,419.2,
Phanerozoic,Paleozoic,Devonian,,Upper,,358.9,382.7,
Phanerozoic,Paleozoic,Devonian,,Upper,Famennian,358.9,372.2,
Phanerozoic,Paleozoic,Devonian,,Upper,Frasnian,372.2,382.7,
Phanerozoic,Paleozoic,Devonian,,Middle,,382.7,393.3,
Phanerozoic,Paleozoic,Devonian,,Middle,Givetian,382.7,387.7,
Phanerozoic,Paleozoic,Devonian,,Middle,Eifelian,387.7,393.3,
Phanerozoic,Paleozoic,Devonian,,Lower,,393.3,419.2,
Phanerozoic,Paleozoic,Devonian,,Lower,Emsian,393.3,407.6,
Phanerozoic,Paleozoic,Devonian,,Lower,Pragian,407.6,410.8,
Phanerozoic,Paleozoic,Devonian,,Lower,Lochkovian,410.8,419.2,
Phanerozoic,Paleozoic,Silurian,,,,419.2,443.8,
Phanerozoic,Paleozoic,Silurian,,Pridoli,,419.2,423,
Phanerozoic,Paleozoic,Silurian,,Ludlow,,423,427.4,
Phanerozoic,Paleozoic,Silurian,,Ludlow,Ludfordian,423,425.6,
Phanerozoic,Paleozoic,Silurian,,Ludlow,Gorstian,425.6,427.4,
Phanerozoic,Paleozoic,Silurian,,Wenlock,,427.4,433.4,
Phanerozoic,Paleozoic,Silurian,,Wenlock,Homerian,427.4,430.5,
Phanerozoic,Paleozoic,Silurian,,Wenlock,Sheinwoodian,430.5,433.4,
Phanerozoic,Paleozoic,Silurian,,Llandovery,,433.4,443.8,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Telychian,433.4,438.5,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Aeronian,438.5,440.8,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Rhuddanian,440.8,443.8,
Phanerozoic,Paleozoic,Ordovician,,,,443.8,485.4,Ordovician
Phanerozoic,Paleozoic,Ordovician,,Upper,,443.8,458.4,
Phanerozoic,Paleozoic,Ordovician,,Upper,Hirnantian,443.8,445.2,
Phanerozoic,Paleozoic,Ordovician,,Upper,Katian,445.2,453,
Phanerozoic,Paleozoic,Ordovician,,Upper,Sandbian,453,458.4,
Phanerozoic,Paleozoic,Ordovician,,Middle,,458.4,470,
Phanerozoic,Paleozoic,Ordovician,,Middle,Darriwilian,458.4,467.3,
Phanerozoic,Paleozoic,Ordovician,,Middle,Dapingian,467.3,470,
Phanerozoic,Paleozoic,Ordovician,,Lower,,470,485.4,
Phanerozoic,Paleozoic,Ordovician,,Lower,Floian,470,477.7,
Phanerozoic,Paleozoic,Ordovician,,Lower,Tremadocian,477.7,485.4,
Phanerozoic,Paleozoic,Cambrian,,,,485.4,541,
Phanerozoic,Paleozoic,Cambrian,,Furongian,,485.4,497,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Stage 10,485.4,489.5,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Jiangshanian,489.5,494,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Paibian,494,497,
Phanerozoic,Paleozoic,Cambrian,,Miaolingian,,497,509,
Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Guzhangian,497,500.5,
Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Drumian,500.5,504.5,
Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Wuliuan,504.5,509,
Phanerozoic,Paleozoic,Cambrian,,Series 2,,509,521,
Phanerozoic,Paleozoic,Cambrian,,Series 2,Stage 4,509,514,
Phanerozoic,Paleozoic,Cambrian,,Series 2,Stage 3,514,521,
Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,,521,541,
Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Stage 2,521,529,
Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Fortunian,529,541,
Precambrian,,,,,,541,4600,
Precambrian,Proterozoic,,,,,541,2500,
Precambrian,Proterozoic,Neo-proterozoic,,,,541,1000,
Precambrian,Proterozoic,Neo-proterozoic,,Ediacaran,,541,635,
Precambrian,Proterozoic,Neo-proterozoic,,Cryogenian,,635,720,
Precambrian,Proterozoic,Neo-proterozoic,,Tonian,,720,1000,
Precambrian,Proterozoic,Meso-proterozoic,,,,1000,1600,
Precambrian,Proterozoic,Meso-proterozoic,,Stenian,,1000,1200,
Precambrian,Proterozoic,Meso-proterozoic,,Ectasian,,1200,1400,
Precambrian,Proterozoic,Meso-proterozoic,,Calymmian,,1400,1600,
Precambrian,Proterozoic,Paleo-proterozoic,,,,1600,2500,
Precambrian,Proterozoic,Paleo-proterozoic,,Statherian,,1600,1800,
Precambrian,Proterozoic,Paleo-proterozoic,,Orosirian,,1800,2050,
Precambrian,Proterozoic,Paleo-proterozoic,,Rhyacian,,2050,2300,
Precambrian,Proterozoic,Paleo-proterozoic,,Siderian,,2300,2500,
Precambrian,Archean,,,,,2500,4600,
Precambrian,Archean,Neo-archean,,,,2500,2800,
Precambrian,Archean,Meso-archean,,,,2800,3200,
Precambrian,Archean,Paleo-archean,,,,3200,3600,
Precambrian,Archean,Eo-archean,,,,3600,4000,
Precambrian,Hadean,,,,,4000,4600,
Precambrian,Hadean,Hadean,,,,4000,4600,
